run_name,run_kind,role,representative,refinement_axis,seed,perturbation,growth_rate,axial_stiffness,bending_stiffness,drag_density,amplitude,n_nodes,requested_dt,accepted_dt_min,accepted_dt_max,rejected_trials,event_count,G_b,G_s,chi,label,onset_time,peak_transverse_amplitude,peak_curvature_rms,mode_spectrum,mode_fractions,energy_initial,energy_final,reference_length_final,total_length_final,growth_work_cumulative,dissipation_estimate_cumulative,endpoint_force_residual_final,endpoint_moment_residual_final,failure_reason,failure_reason_codes,numerical_status,numerical_reason_codes
contrast__lower_growth,parameter_contrast,contrast:growth_rate,buckled,contrast,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.3,5.0,0.02,1.0,0.02,9,0.001,0.001,0.001,0,1501,2.463835741124241,0.24,0.001,sub-threshold-or-relaxing,,0.042102281367563874,0.05232910913160704,"[0.03842580508705194, 1.2110538266663085e-16, -0.0026363145794012213, -3.252606517456513e-17, 0.00018162905449856342, -1.734723475976807e-18]","{""1"": 0.9952928729470675, ""2"": 9.886255628335438e-30, ""3"": 0.004684890084091033, ""4"": 7.1312883783554195e-31, ""5"": 2.2236968841462953e-05, ""6"": 2.0284553609544303e-33}",2.3718676928890636e-05,0.017281900867294798,3.1373882676588267,3.001374708901246,0.1666652949998193,0.15008002627642458,0.07977591121205552,6.489988254554296e-05,,[],numerically-unresolved,"[""not_refined_across_time_or_space""]"
contrast__lower_axial_stiffness,parameter_contrast,contrast:axial_stiffness,buckled,contrast,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.5,2.5,0.02,1.0,0.02,9,0.001,0.001,0.001,0,1501,4.106392901873735,0.8,0.002,buckling-candidate,1.3339999999999639,0.0736670800711051,0.12388410685875766,"[0.05437242723646927, -3.642919299551295e-17, -0.011418083698855587, 1.1275702593849246e-17, 0.0036117828751146518, -1.1709383462843448e-17]","{""1"": 0.9537329480163517, ""2"": 4.281228874237677e-31, ""3"": 0.04205869460309625, ""4"": 4.101630837563307e-32, ""5"": 0.004208357380552168, ""6"": 4.423208403230253e-32}",2.3718676928890636e-05,0.17686400779433373,4.235031185884478,3.5132931238604597,0.5617975167276854,0.38563118848592465,0.1708553257055202,0.00013083834308404643,,[],numerically-unresolved,"[""not_refined_across_time_or_space""]"
contrast__higher_bending_stiffness,parameter_contrast,contrast:bending_stiffness,buckled,contrast,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.5,5.0,0.04,1.0,0.02,9,0.001,0.001,0.001,0,1501,2.0531964509368676,0.4,0.002,buckling-candidate,1.3849999999999583,0.06896342661356103,0.08122636847744324,"[0.05675315209122859, 6.960577947356938e-17, -0.008175849917793921, -2.0816681711721685e-17, 0.0016140500906310922, -1.0191500421363742e-17]","{""1"": 0.9788930483230237, ""2"": 1.4724680224420529e-30, ""3"": 0.020315199462733323, ""4"": 1.3169772512714317e-31, ""5"": 0.0007917522142429065, ""6"": 3.156687009612188e-32}",4.743735385778127e-05,0.13919493330147595,4.235031185884478,3.7844263755805114,0.7034283519299305,0.5661020917233501,0.20397582612136966,0.0003600445110174401,,[],numerically-unresolved,"[""not_refined_across_time_or_space""]"
contrast__higher_drag_density,parameter_contrast,contrast:drag_density,buckled,contrast,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.5,5.0,0.02,2.0,0.02,9,0.001,0.001,0.001,0,1501,8.21278580374747,0.8,0.001,buckling-candidate,1.1409999999999851,0.12706309655360018,0.2814749257766618,"[0.056091033989180215, -1.4137996329210978e-16, -0.02424763717320797, 1.24683249835833e-16, 0.018019127486836643, -2.0599841277224584e-17]","{""1"": 0.7751484048404821, ""2"": 4.924631003794504e-30, ""3"": 0.1448561090690257, ""4"": 3.83013597997092e-30, ""5"": 0.07999548609049213, ""6"": 1.0455040368767501e-31}",2.3718676928890636e-05,0.34067514158341655,4.235031185884478,3.5287606543089254,1.12019885799854,0.7808818887683542,0.3398937150871211,0.0009646897527683127,,[],numerically-unresolved,"[""not_refined_across_time_or_space""]"
contrast__larger_initial_imperfection,parameter_contrast,contrast:amplitude,buckled,contrast,,"{""amplitude_base"": 0.04, ""amplitude_effective"": 0.04, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.5,5.0,0.02,1.0,0.04,9,0.001,0.001,0.001,0,1501,4.106392901873735,0.4,0.001,buckling-candidate,1.1169999999999878,0.2265537893040267,0.30937166588194603,"[0.1314232155341705, -6.678685382510707e-17, -0.045339652223938674, -6.722053469410127e-17, 0.02193286064164463, -7.589415207398531e-17]","{""1"": 0.8719389892743988, ""2"": 2.2517692842690804e-31, ""3"": 0.10377632550725163, ""4"": 2.2811079884704272e-31, ""5"": 0.024284685218349526, ""6"": 2.9077599228681302e-31}",9.46967301906333e-05,0.12890921757234933,4.23812238746538,3.80984440163776,0.6963380438771034,0.5693631193471909,0.19954155891300085,0.0005751899429512575,,[],numerically-unresolved,"[""not_refined_across_time_or_space""]"
