run_name,run_kind,role,representative,refinement_axis,seed,perturbation,growth_rate,axial_stiffness,bending_stiffness,drag_density,amplitude,n_nodes,requested_dt,accepted_dt_min,accepted_dt_max,rejected_trials,event_count,G_b,G_s,chi,label,onset_time,peak_transverse_amplitude,peak_curvature_rms,mode_spectrum,mode_fractions,energy_initial,energy_final,reference_length_final,total_length_final,growth_work_cumulative,dissipation_estimate_cumulative,endpoint_force_residual_final,endpoint_moment_residual_final,failure_reason,failure_reason_codes,numerical_status,numerical_reason_codes
straight__spatial_n5,deterministic_fixture,straight,straight,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.1,5.0,0.02,1.0,0.02,5,0.004,0.003999999999998893,0.004,0,376,0.8212785803747471,0.08000000000000002,0.001,sub-threshold-or-relaxing,,0.02,0.03825182382726037,"[0.018991835092291437, -1.3010426069826053e-18, -1.0082497836558235e-06, -3.0357660829594124e-18, -3.2052705901020224e-08, 3.848917712323541e-18]","{""1"": 0.999999997178753, ""2"": 4.692985106863635e-33, ""3"": 2.8183985876146996e-09, ""4"": 2.5550696692924235e-32, ""5"": 2.848364306910369e-12, ""6"": 4.107176722864511e-32}",2.194696699759354e-05,0.0005882108568736605,2.324212859204886,2.302323532236634,0.012853296984476046,0.012574348820324339,0.030843202302463076,0.0003690145971493569,,[],,
straight__spatial_n9,deterministic_fixture,straight,straight,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.1,5.0,0.02,1.0,0.02,9,0.004,0.003999999999998893,0.004,0,376,0.8212785803747471,0.08000000000000002,0.001,sub-threshold-or-relaxing,,0.02,0.03681701765419713,"[0.019743126228127565, 1.3010426069826053e-18, -1.171460587057649e-06, 3.2526065174565133e-18, 2.069336095707197e-10, -7.589415207398531e-19]","{""1"": 0.9999999964793445, ""2"": 4.342613643696931e-33, ""3"": 3.5206553899442712e-09, ""4"": 2.714133527310582e-32, ""5"": 1.0985762874301059e-16, ""6"": 1.4776949204246502e-33}",2.3718676928890636e-05,0.0005215518176781245,2.3242343940348644,2.3042240139382497,0.011787622604722749,0.011580226108192967,0.014464444758199784,0.00010400327824165217,,[],,
straight__spatial_n13,deterministic_fixture,straight,straight,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.1,5.0,0.02,1.0,0.02,13,0.004,0.000125,0.004,117,543,0.8212785803747471,0.08000000000000002,0.001,buckling-candidate,0.09700000000000006,0.4152422582594282,3.69307429506422,"[0.37050862175651894, 0.02924738611731227, 0.02091579570960763, -0.014488024856222904, 0.0058970083128188555, 0.005959563439719447]","{""1"": 0.9886706710440253, ""2"": 0.0061606868103906195, ""3"": 0.003150676376122793, ""4"": 0.0015117270313220507, ""5"": 0.00025044853405208387, ""6"": 0.0002557902040869994}",2.4060563627020934e-05,0.35770409677758913,2.324238455607473,2.3166926621496704,-0.11817545145937426,1536.1247681403513,1.4842223342365768,0.0030657517474620604,,[],,
boundary_near__spatial_n5,deterministic_fixture,boundary-near,boundary_near,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.3,5.0,0.02,1.0,0.02,5,0.004,0.003999999999998893,0.004,0,376,2.463835741124241,0.24,0.001,sub-threshold-or-relaxing,,0.04271412097051555,0.047535674783461324,"[0.03655010923787467, 2.688821387764051e-17, -0.0026239042037492413, -6.071532165918825e-18, 0.0009182010501934163, -2.168404344971009e-19]","{""1"": 0.9942484777590104, ""2"": 5.38073351945017e-31, ""3"": 0.005124051981051254, ""4"": 2.743558194100503e-32, ""5"": 0.000627470259938412, ""6"": 3.4994364720669675e-35}",2.194696699759354e-05,0.01873219686850906,3.137359198678958,2.991920275635253,0.1790360717156356,0.16296495379913922,0.155126155520493,0.0001949813530319713,,[],,
boundary_near__spatial_n9,deterministic_fixture,boundary-near,boundary_near,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.3,5.0,0.02,1.0,0.02,9,0.004,0.003999999999998893,0.004,0,376,2.463835741124241,0.24,0.001,sub-threshold-or-relaxing,,0.042219447451568505,0.0524805308474667,"[0.03852610225577286, 3.0140820395097023e-17, -0.0026485112337763803, -4.119968255444917e-18, 0.00018309359944806113, 6.505213034913027e-19]","{""1"": 0.995273859081857, ""2"": 6.091757260951621e-31, ""3"": 0.004703661825529466, ""4"": 1.1382042188310828e-32, ""5"": 2.2479092613522553e-05, ""6"": 2.8376282463932813e-34}",2.3718676928890636e-05,0.01676997522225896,3.137388267658876,3.0038220551356387,0.1646295631483361,0.15058403214498448,0.07550227150971182,6.550308435715847e-05,,[],,
boundary_near__spatial_n13,deterministic_fixture,boundary-near,boundary_near,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.3,5.0,0.02,1.0,0.02,13,0.004,0.0005,0.004,31,421,2.463835741124241,0.24,0.001,buckling-candidate,0.09000000000000005,0.33034502633489254,0.25683944967408434,"[0.3100275078416245, 0.01004988884477145, -0.01677855620261627, -0.0012857684601291141, 0.0008422850197849184, 4.14511456359604e-05]","{""1"": 0.9960116389780066, ""2"": 0.0010466138358238939, ""3"": 0.0029172465100140454, ""4"": 1.71312673063037e-05, ""5"": 7.351604051879547e-06, ""6"": 1.7804797199477435e-08}",2.4060563627020934e-05,0.016536890699178054,3.1373937502084277,3.013778770532585,0.007305112597971021,552.4083841263193,0.047218116792863654,0.00021449477079949,,[],,
buckled__spatial_n5,deterministic_fixture,buckled-candidate,buckled,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.5,5.0,0.02,1.0,0.02,5,0.004,0.003999999999998893,0.004,0,376,4.106392901873735,0.4,0.001,buckling-candidate,1.1600000000000008,0.09050458337390507,0.0853197227528909,"[0.06256777274327152, -5.0306980803327406e-17, -0.014792288605589959, -8.673617379884035e-19, 0.005680392325030126, 6.5052130349130266e-18]","{""1"": 0.9397286554491463, ""2"": 6.075158130500871e-31, ""3"": 0.05252569679124844, ""4"": 1.805932856867084e-34, ""5"": 0.007745647759605225, ""6"": 1.0158372319877347e-32}",2.194696699759354e-05,0.15060311499742557,4.23499194686651,3.7529492876780046,0.755284712644501,0.6117081449191436,0.3922842079282214,0.0006420897037955207,,[],,
buckled__spatial_n9,deterministic_fixture,buckled-candidate,buckled,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.5,5.0,0.02,1.0,0.02,9,0.004,0.003999999999998893,0.004,0,376,4.106392901873735,0.4,0.001,buckling-candidate,1.1160000000000008,0.11645724823174318,0.17584047849615247,"[0.06599020996898095, 1.496198998029996e-17, -0.023466037323856583, -9.974659986866641e-18, 0.01175930048095059, 7.589415207398531e-18]","{""1"": 0.8634050948836226, ""2"": 4.4384803936062056e-32, ""3"": 0.1091779915829756, ""4"": 1.9726579527138693e-32, ""5"": 0.02741691353340183, ""6"": 1.1420160643074149e-32}",2.3718676928890636e-05,0.1341281913372034,4.23503118588508,3.794939456830104,0.6959130398746445,0.56913241788909,0.19617714785720866,0.000329142763235554,,[],,
buckled__spatial_n13,deterministic_fixture,buckled-candidate,buckled,spatial,,"{""amplitude_base"": 0.02, ""amplitude_effective"": 0.02, ""amplitude_factor"": 1.0, ""initial_condition_is_perturbation_only"": true, ""mode"": ""deterministic_sine"", ""noise_fraction"": 0.0, ""seed"": null}",0.5,5.0,0.02,1.0,0.02,13,0.004,0.0005,0.004,13,395,4.106392901873735,0.4,0.001,buckling-candidate,0.08600000000000005,0.41224413827227424,0.9668098953879853,"[-0.3705556251890941, -6.195627755281423e-06, -0.12580793969581153, 3.71784833195013e-06, 0.07573478502727145, -1.395915669163278e-06]","{""1"": 0.8642743446677225, ""2"": 2.416102940831543e-10, ""3"": 0.0996232948142156, ""4"": 8.700178008425817e-11, ""5"": 0.03610236017718507, ""6"": 1.2264876094419833e-11}",2.4060563627020934e-05,0.10039235125562797,4.235038586552883,3.9446572767454913,0.5180074457733335,227.60453136682528,0.10057076257792583,0.002665185270335643,,[],,
