time,step,n_nodes,reference_length,contour_length,endpoint_distance,radius_of_gyration,arc_length_weighted_radius_of_gyration,max_transverse_displacement,first_mode_amplitude,first_mode_abs_amplitude,mode_norm,first_mode_fraction,dominant_mode,max_curvature,rms_curvature,energy_total,energy_stretch,energy_bend,energy_contact,fixed_endpoint_reaction_left_x,fixed_endpoint_reaction_left_y,fixed_endpoint_reaction_right_x,fixed_endpoint_reaction_right_y
0.0,0,7,2.000482221348343,2.000482221348343,2.0,0.6667099619757205,0.5774218846118647,0.02,0.019546106742962015,0.019546106742962015,0.019546106775405032,0.99999999834018,1,0.048227738301363066,0.037349248439709326,5.8118473231535855e-05,0.0,5.8118473231535855e-05,0.0,0.0001083095389263759,-0.00361031796421253,-0.0001083095389263762,-0.0036103179642125397
0.004,4,7,2.0008823578049855,2.0004812184252363,2.0,0.6667097603989501,0.577421736224348,0.01997913032960895,0.019525769060456673,0.019525769060456673,0.019525769090157255,0.9999999984789033,1,0.04815718566671222,0.03729546873396243,6.200706563695761e-05,4.021054185050238e-06,5.798601145190738e-05,0.0,0.020112179940943622,-0.0030065028010644187,-0.020112179941043425,-0.003006502801061432
0.008,8,7,2.001282574296922,2.0004804036641186,2.0,0.6667096396979886,0.5774216157295474,0.019962154603831765,0.019509231317710467,0.019509231317710467,0.0195092313450207,0.9999999986001379,1,0.04809618639632036,0.03724897756765156,7.395291757936304e-05,1.607664061421487e-05,5.787627696514816e-05,0.0,0.04013885019426385,-0.002403702931312126,-0.04013885019657564,-0.0024037029312431873
0.013000000000000005,13,7,2.0017829574858643,2.0004796480080564,2.0,0.6667095362399877,0.5774215040855267,0.019946385667997793,0.01949388073044133,0.01949388073044133,0.01949388075514809,0.9999999987325889,1,0.048033191689253976,0.03720106302185497,0.00010019838999313992,4.2427576695641727e-05,5.777081329749819e-05,0.0,0.06516953264334376,-0.0016521432485243391,-0.06516953247618588,-0.0016521432535069262
0.017000000000000008,17,7,2.0021833541157505,2.000479252612163,2.0,0.6667095276111097,0.577421445794825,0.01993811511381213,0.019485843739360912,0.019485843739360912,0.01948584376224765,0.9999999988254685,1,0.04799323884180816,0.03717085514049637,0.00013023180714074592,7.252015101524323e-05,5.77116561255027e-05,0.0,0.08526829063237168,-0.001049744681693394,-0.08526828551300622,-0.00104974483423367
0.02100000000000001,21,7,2.0025838308329713,2.00047904237462,2.0,0.6667098949354384,0.5774214150143888,0.01993368424720771,0.019481569007406805,0.019481569007406805,0.019481569028667507,0.9999999989086761,1,0.04796163738886648,0.03714791540678599,0.00016830322217886365,0.00011062841413618244,5.767480804268119e-05,0.0,0.10608357758775917,-0.0004265364963922202,-0.1060834211486543,-0.0004265411569611588
0.026000000000000016,26,7,2.0030845393767156,2.000479039301174,2.0,0.6667031913148908,0.5774214141887398,0.019933828382500202,0.019481506462433008,0.019481506462433008,0.019481506482157962,0.9999999989875037,1,0.04795585031090923,0.037144142231819534,0.0002305685368565041,0.00017290850833486806,5.766002852163605e-05,0.0,0.11697451766084287,-9.920897300399762e-05,-0.11698572156025008,-9.887519179224962e-05
0.03000000000000002,30,7,2.0034851963490135,2.0004792444952275,2.0,0.6666583795815393,0.5774214394732519,0.019939768782735956,0.01948567665023975,0.01948567665023975,0.01948567667584791,0.9999999986857958,1,0.04807464695231705,0.03811127392320058,0.0005140192986316614,0.0004563459682778279,5.767333035383351e-05,0.0,0.04264138519432211,-0.0023154230721802223,-0.04298200795941704,-0.00230527643961689
0.03400000000000002,34,7,2.0038859334607197,2.0004796412074306,2.0,0.6662959037683621,0.5774214527879491,0.019961469828001423,0.0194936123199492,0.0194936123199492,0.01949361277437259,0.9999999766886007,1,0.08901697919719537,0.07952122953652818,0.015698532324992204,0.015640815412266855,5.771691272535081e-05,0.0,-0.709571507660703,-0.02473553758243341,0.6992394180156782,-0.024428517594292164
0.03900000000000003,39,7,2.004386967570815,2.0004823713779887,2.0,0.673100065483111,0.5774222515895893,0.01968270380865616,0.019515818228304165,0.019515818228304165,0.019515878527731095,0.9999969102376383,1,1.1520822898438248,0.9679502651044791,2.9041355735820877,2.9040751524100332,6.042117205471258e-05,0.0,12.565317243907554,0.38129321205311045,-11.832216655878884,0.35829640874163443
