time,step,n_nodes,reference_length,contour_length,endpoint_distance,radius_of_gyration,arc_length_weighted_radius_of_gyration,max_transverse_displacement,first_mode_amplitude,first_mode_abs_amplitude,mode_norm,first_mode_fraction,dominant_mode,max_curvature,rms_curvature,energy_total,energy_stretch,energy_bend,energy_contact,fixed_endpoint_reaction_left_x,fixed_endpoint_reaction_left_y,fixed_endpoint_reaction_right_x,fixed_endpoint_reaction_right_y
0.0,0,7,2.000482221348343,2.000482221348343,2.0,0.6667099619757205,0.5774218846118647,0.02,0.019546106742962015,0.019546106742962015,0.019546106775405032,0.99999999834018,1,0.048227738301363066,0.037349248439709326,0.00011623694646307171,0.0,0.00011623694646307171,0.0,0.0002166190778527518,-0.00722063592842506,-0.0002166190778527524,-0.007220635928425079
0.004,4,7,2.000882357804925,2.0004801015683156,2.0,0.6667095390114587,0.5774215708929233,0.01995587333455051,0.019503096020425423,0.019503096020425423,0.019503096047595415,0.9999999986068883,1,0.04810019976054222,0.03725216539997852,0.00011974639331134287,4.043502310553964e-06,0.00011570289100078891,0.0,0.020238792241221673,-0.0066045753937002865,-0.020238792241304843,-0.006604575393697825
0.008,8,7,2.0012825742968015,2.0004781773749225,2.0,0.6667092503377623,0.5774212860600759,0.01991574024528327,0.01946397132820778,0.01946397132820778,0.01946397135120967,0.9999999988182325,1,0.04798271275073052,0.03716256629584094,0.00013138223637558993,1.6166025333630505e-05,0.00011521621104195944,0.0,0.04031958425691355,-0.005990508369912658,-0.04031958425912558,-0.00599050836984711
0.013000000000000005,13,7,2.001782957485669,2.000476043273903,2.0,0.6667089458116405,0.577420970116981,0.019871137998680087,0.019420486406697468,0.019420486406697468,0.019420486425608428,0.9999999990262366,1,0.04784961088981351,0.03706100518918444,0.00015733606159803318,4.2662631641062275e-05,0.0001146734299569709,0.0,0.06543385768926567,-0.005227284170119152,-0.06543385753015445,-0.005227284174825275
0.017000000000000008,17,7,2.0021833541154943,2.0004745501987835,2.0,0.666708820148757,0.5774207490695524,0.01983987176785678,0.01939000520235621,0.01939000520235621,0.0193900052186819,0.9999999991580357,1,0.04775379725712674,0.036988042981195283,0.0001872127456380335,7.29217712835043e-05,0.00011429097435452918,0.0,0.08568979169685387,-0.004615205450264087,-0.08568978682087929,-0.004615205594263108
0.02100000000000001,21,7,2.0025838308326542,2.0004732453897125,2.0,0.6667094241993826,0.577420555982222,0.019812480014319102,0.019363328177057198,0.019363328177057198,0.019363328191252697,0.9999999992668874,1,0.04766557252044744,0.03692269722456261,0.0002252475163060179,0.00011129352581199263,0.00011395399049402528,0.0,0.10740321546877728,-0.003962633945916186,-0.10740306646461383,-0.003962638340540994
0.026000000000000016,26,7,2.0030845393763226,2.000471876524946,2.0,0.6666957036840822,0.5774203516516518,0.019784257427159113,0.01933530185174043,0.01933530185174043,0.019335301864580566,0.9999999993359227,1,0.04761024509750761,0.03691185533089257,0.00029801655580248223,0.00018442048768775596,0.00011359606811472628,0.0,0.10407696871580435,-0.004050456620405887,-0.10408764021184494,-0.004050142354845478
0.03000000000000002,30,7,2.0034851963485596,2.000470989800661,2.0,0.666605286143584,0.5774202091560087,0.01976908447553619,0.01931711745730625,0.01931711745730625,0.01931711749511026,0.9999999980429787,1,0.04780376661069598,0.040701733230056075,0.0012779716636178355,0.0011646107047085087,0.0001133609589093267,0.0,-0.06579092943725712,-0.009055214949584094,0.06546649065227422,-0.009045676120290636
0.03400000000000002,34,7,2.0038859334602046,2.000470313692413,2.0,0.665881563443101,0.5774200143725144,0.019781448202214138,0.019302737650881363,0.019302737650881363,0.019302739360850148,0.9999999114131548,1,0.16381672220567067,0.14642969172565856,0.06276790953531501,0.06265467729177678,0.00011323224353823621,0.0,-1.5968957938523132,-0.05405365572504505,1.587054515173048,-0.05376622298844895
0.03850000000000003,39,7,2.004336858522401,2.0004711025298776,2.0,0.6691742850884719,0.5774206033942794,0.01949183070651825,0.019305755214650878,0.019305755214650878,0.019305832442926836,0.9999959997437984,1,0.4659834027490532,0.3987198771256376,0.489825891082411,0.48971034867989827,0.00011554240251272496,0.0,5.225794441944038,0.14865198474717373,-5.025518163150739,0.14266050143730533
