case,time,step,n_nodes,reference_length,contour_length,radius_of_gyration,arc_length_weighted_radius_of_gyration,max_transverse_displacement,max_curvature,rms_curvature,fold_count,endpoint_distance,contact_length,active_contact_pairs,max_penetration,penetration_ratio,finite_radius_contact_pairs,centerline_intersection_pairs,self_loop_count,fold_wavelength,fold_periodicity,energy_stretch,energy_bend,energy_contact,energy_total,dissipation_work_step,growth_work_step,dissipation_work,growth_work,remesh_interval
representative_u_contact,0.0,0,7,1.9772318589307387,1.9772318589307387,0.5385934789856612,0.4799822910880073,0.6366197723675813,1.5707963267948981,1.5172727398911934,0,1.2732395447351628,1.318154572620492,4,0.020461356844877043,0.05846101955679155,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,,0.0,0.0,0.20327600267580112,0.00837334247866782,0.21164934515446893,0.0,0.0,0.0,0.0,False
representative_u_contact,0.001,1,7,1.9773307229952661,1.9765311567773372,0.5384243192244448,0.4796537662069436,0.6369490159320109,1.584597675471585,1.5137967031130277,0,1.2732395447351628,1.3171130124472836,4,0.020448242680105255,0.05842355051458645,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,0.9882655783886686,0.4244736247124475,9.910976924935566e-05,0.2022926547048835,0.008298523811085645,0.2106902882852185,0.0010636734642928182,0.00010461659504238286,0.0010636734642928182,0.00010461659504238286,False
representative_u_contact,0.002,2,7,1.9774295920031206,1.9759167769199388,0.5381912856231816,0.47936183915918307,0.6372237204800024,1.5938707241775236,1.510508948125091,0,1.2732395447351628,1.31651207394463,4,0.020731516278642004,0.05923290365326287,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,0.9879583884599694,0.421857492535029,0.00013656638511451427,0.20137471471702773,0.00841790302342321,0.20992918412556544,0.0007935838459728803,3.247968631982711e-05,0.0018572573102656985,0.00013709628136220997,False
representative_u_contact,0.003,3,7,1.977528465954549,1.9754974689480091,0.5380139519837187,0.4791166980587631,0.6375261587393579,1.6040734030445107,1.5078187367197435,0,1.2732395447351628,1.3164596634342058,4,0.020532195729130287,0.058663416368943684,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,0.9877487344740046,0.43275484191577857,0.00021287475389098972,0.20063700018680247,0.008410464057405543,0.20926033899809898,0.0007292366087822972,6.039148131584192e-05,0.0025864939190479957,0.00019748776267805189,False
representative_u_contact,0.004,4,7,1.9776273448497985,1.9751670562854358,0.5378235283077419,0.47888116080407483,0.6379709012604806,1.6105180647838022,1.5049179389219753,0,1.2732395447351628,1.3157873516989906,4,0.02106914450627695,0.06019755573221986,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,1.9751670562854358,0.4248948207079361,0.00026485559010220125,0.1998457663671483,0.008564109500974925,0.2086747314582254,0.0007324470646159444,0.00014683952474236616,0.00331894098366394,0.00034432728742041804,False
representative_u_contact,0.005,5,7,1.9777262286891162,1.9750093045042376,0.5377191101695248,0.47869902156584665,0.6383219181803185,1.6213897000032853,1.5030180117639698,0,1.2732395447351628,1.315369750204079,4,0.020811221766901256,0.05946063361971788,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,0.9875046522521188,0.4287131519973732,0.00045259205079369643,0.1993458993093834,0.00840348345703585,0.20820197481721295,0.0008747850140777677,0.0004020283730653115,0.0041937259977417075,0.0007463556604857296,False
representative_u_contact,0.006,6,7,1.9778251174727497,1.9748113027130214,0.5375182557912513,0.4784831341672191,0.6389479254379596,1.6229763803198487,1.49997323134942,0,1.2732395447351628,1.3149042894516343,4,0.021760119474435957,0.06217176992695988,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,1.9748113027130214,0.44511777932832625,0.0006777398640501024,0.19852390868097777,0.008753646959473572,0.20795529550450143,0.0013832031737767466,0.0011365238610652236,0.005576929171518454,0.001882879521550953,False
representative_u_contact,0.007,7,7,1.9779240112009457,1.9748759751174012,0.5375223555033977,0.4783682590662471,0.6391979897011381,1.638860646894368,1.4993012648692137,0,1.2732395447351628,1.3131007469063305,4,0.02139853557620347,0.06113867307486706,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,0.9874379875587006,0.4311576009186031,0.001679632516960758,0.19838083363379788,0.008231806193849153,0.2082922723446078,0.0029289395657092036,0.003265916405815566,0.008505868737227657,0.005148795927366519,False
representative_u_contact,0.008,8,7,1.9780229098739524,1.9746519314594344,0.5372094841623739,0.47812056962996174,0.6401561082086665,1.6292801360074918,1.4950367000233036,0,1.2732395447351628,1.312920270098864,4,0.02362558705247786,0.06750167729279388,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,1.9746519314594344,0.4784952860872399,0.003781158647327968,0.19722131674054805,0.009242847991296271,0.2102453233791723,0.007453318793263971,0.009406369827828472,0.01595918753049163,0.014555165755194992,False
representative_u_contact,0.009000000000000001,9,7,1.978121813492016,1.975036600033124,0.5374658799693315,0.47812501209585584,0.6399603793599656,1.6627158919065093,1.4971636119960559,0,1.2732395447351628,1.3069238130547358,4,0.022990115090226304,0.0656860431149323,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,0.987518300016562,0.45555373287679596,0.011138909742009978,0.1978773596329579,0.00782743980432957,0.21684370917929746,0.020602202138681983,0.027200587938807155,0.03656138966917361,0.04175575369400215,False
