group,axis,case_coarse_or_low,case_fine_or_high,value_coarse_or_low,value_fine_or_high,penetration_ratio_coarse_or_low,penetration_ratio_fine_or_high,relative_penetration_difference,classification_match,criterion,converged
dt_convergence,dt,representative_dt_coarse,representative_dt_fine,0.002,0.0005,0.37832643044790054,0.05936878582388101,5.3724805080268165,True,relative penetration difference <= convergence_tolerance and classification match,False
kc_convergence,contact_stiffness,kc_refinement_soft,kc_refinement_stiff,5.0,20.0,0.06022419767413388,0.05846101955679155,0.030159893390663505,True,higher contact stiffness does not increase maximum penetration ratio,True
