cell,G_b,chi,regime,n_trials,denominator,straight_count,buckled_single_count,unresolved_count,straight_fraction,buckled_single_fraction,unresolved_fraction,unresolved_reasons,onset_time_count,onset_time_missing_count,onset_time_median,onset_time_iqr,onset_time_mean,onset_time_std,peak_max_transverse_count,peak_max_transverse_missing_count,peak_max_transverse_median,peak_max_transverse_iqr,peak_max_transverse_mean,peak_max_transverse_std,peak_first_mode_fraction_count,peak_first_mode_fraction_missing_count,peak_first_mode_fraction_median,peak_first_mode_fraction_iqr,peak_first_mode_fraction_mean,peak_first_mode_fraction_std,peak_max_curvature_count,peak_max_curvature_missing_count,peak_max_curvature_median,peak_max_curvature_iqr,peak_max_curvature_mean,peak_max_curvature_std,peak_energy_total_count,peak_energy_total_missing_count,peak_energy_total_median,peak_energy_total_iqr,peak_energy_total_mean,peak_energy_total_std,grid_index_gb,grid_index_chi,target_G_b,target_chi,actual_G_b,actual_chi,deterministic_label,deterministic_onset_time,deterministic_peak_max_transverse_displacement,deterministic_failure_reason,deterministic_manifest
gb_01_chi_01,0.1642557161,0.000125,numerically-unresolved,5,5,0,0,5,0.0,0.0,1.0,"{""classification_rule_unresolved"": 5}",5,0,0.1515000000000001,0.02200000000000002,0.15770000000000012,0.017272991923809856,5,0,0.08485683098481817,0.0020783075323233396,0.08314430967847877,0.004540854915773288,5,0,0.6317375596825947,0.03717114544126665,0.6371438411125719,0.03661375089082239,5,0,1.79789987886643,0.021749034034311165,1.82248897960667,0.047170011192576015,5,0,0.312052567612922,0.9559845329597025,0.7752914982781451,0.6686935709098014,1,1,0.1642557161,0.000125,0.1642557161,0.000125,buckled-single,0.2,0.0591242194459267,,grid/gb_01_chi_01/deterministic/manifest.json
gb_01_chi_02,0.1642557161,0.00025,resolved-straight,5,5,5,0,0,1.0,0.0,0.0,{},0,5,,,,,5,0,0.04600028646967947,0.0018779042359846829,0.04637237811503732,0.0016378824549116275,5,0,0.9595667862972994,0.009353581985052761,0.9580280637749545,0.006654269110306502,5,0,0.9338294211644327,0.3619449786357599,0.901801407718634,0.3708705944317803,5,0,1.122145958329595,0.9184823279319796,1.186781346729274,1.2423714640528893,1,2,0.1642557161,0.00025,0.1642557161,0.00025,straight,,0.04075519041733738,,grid/gb_01_chi_02/deterministic/manifest.json
gb_01_chi_03,0.1642557161,0.0005,resolved-straight,5,5,5,0,0,1.0,0.0,0.0,{},0,5,,,,,5,0,0.048336172370552655,0.0007967118570585546,0.0485889285133203,0.00201344747711306,5,0,0.9938030896068666,0.0005535476279433516,0.9936743048650356,0.0005332028102340473,5,0,1.0788627252432286,0.8889664537432717,0.8705721750922631,0.656596033031841,5,0,2.02327702843664,1.9914674301036006,1.9306257686356567,2.049866275799455,1,3,0.1642557161,0.0005,0.1642557161,0.0005,straight,,0.04856098751637558,,grid/gb_01_chi_03/deterministic/manifest.json
gb_02_chi_01,0.19,0.000125,numerically-unresolved,5,5,0,1,4,0.0,0.2,0.8,"{""classification_rule_unresolved"": 4}",5,0,0.1430000000000001,0.02425000000000002,0.15395000000000011,0.01943370139731494,5,0,0.08824653102180305,0.002753930142476449,0.08517892777772192,0.007864312493896937,5,0,0.6107062077426689,0.046277074834670584,0.6361292766497196,0.06011966862058003,5,0,1.88554820530939,0.07737620144287027,1.823280590861432,0.2739664945134931,5,0,0.3139535698857345,0.006535949714669698,0.5598098603412913,0.5950297885104517,2,1,0.19,0.000125,0.19,0.000125,buckled-single,0.19800000000000015,0.06065598198703275,,grid/gb_02_chi_01/deterministic/manifest.json
gb_02_chi_02,0.19,0.00025,trial-mixed,5,5,3,2,0,0.6,0.4,0.0,{},2,3,0.19600000000000015,0.0005000000000000004,0.19600000000000015,0.0007071067811865482,5,0,0.058154513783994305,0.0032093928842378966,0.058791901568926816,0.0027161470319728427,5,0,0.9264399698610504,0.021549300638898927,0.9185649686398405,0.014364146686177557,5,0,0.8430309258250602,0.2388001339464937,0.8818290996506276,0.1810203570765855,5,0,0.2553991830122276,0.8620306093630653,0.5440709747773302,0.5324007988532917,2,2,0.19,0.00025,0.19,0.00025,straight,,0.051791900431223295,,grid/gb_02_chi_02/deterministic/manifest.json
gb_02_chi_03,0.19,0.0005,resolved-buckled,5,5,0,5,0,0.0,1.0,0.0,{},5,0,0.19675000000000015,0.0012500000000000011,0.19625000000000017,0.0009519716382329893,5,0,0.06058379490810337,0.0006476578313051942,0.06079646232382348,0.00222170521326849,5,0,0.9836784213751228,0.00042381315788631024,0.9836588782379734,0.0009047506366687157,5,0,0.6443015908384749,0.6017902420010922,0.7605206803044803,0.3852412327164849,5,0,0.711016674367702,1.5903205128234175,1.1987016291803934,1.0839733692626266,2,3,0.19,0.0005,0.19,0.0005,buckled-single,0.19700000000000015,0.06088407966319156,,grid/gb_02_chi_03/deterministic/manifest.json
gb_03_chi_01,0.3285114321,0.000125,numerically-unresolved,5,5,0,0,5,0.0,0.0,1.0,"{""classification_rule_unresolved"": 5}",5,0,0.1287500000000001,0.030250000000000013,0.1344500000000001,0.019842662371768575,5,0,0.11084636754865974,0.0006047824674579733,0.10480900559088595,0.014309071145714104,5,0,0.5313597101976977,0.05789157685832175,0.52593345106216,0.033269905354406104,5,0,2.535991944279344,0.1131471167506688,2.502671958937782,0.1212065125824391,5,0,1.1069397070636455,0.09040905145985745,1.129650695271293,0.08674522197765636,3,1,0.3285114321,0.000125,0.3285114321,0.000125,unresolved,0.17800000000000013,0.09835187616380346,,grid/gb_03_chi_01/deterministic/manifest.json
gb_03_chi_02,0.3285114321,0.00025,numerically-unresolved,5,5,0,0,5,0.0,0.0,1.0,"{""classification_rule_unresolved"": 5}",5,0,0.1470000000000001,0.002250000000000002,0.1465500000000001,0.0027861263431510092,5,0,0.13661278746459687,0.0015879659723065653,0.13687586359674545,0.002217451894446213,5,0,0.6295416491035206,0.02323954082801183,0.6239369362754823,0.01400467050586447,5,0,2.519731706577129,0.10112923930656104,2.513837700394128,0.06394772869369333,5,0,0.7920578250890095,0.4163020564932849,0.8160634986648926,0.21853749124194666,3,2,0.3285114321,0.00025,0.3285114321,0.00025,buckled-single,0.16275000000000012,0.13255840212016848,,grid/gb_03_chi_02/deterministic/manifest.json
gb_03_chi_03,0.3285114321,0.0005,numerically-unresolved,5,5,0,0,5,0.0,0.0,1.0,"{""classification_rule_unresolved"": 5}",5,0,0.1407500000000001,0.002250000000000002,0.1406500000000001,0.0015471748446765814,5,0,0.20141145488224854,0.003718355061043649,0.2023613374937654,0.0038937953387966615,5,0,0.6764948491782662,0.01643827716104873,0.6782820914530902,0.013206419795265562,5,0,2.4554672383594114,0.01249182349421174,2.4493744418642023,0.05403268316044015,5,0,0.6547623112619883,0.043293219631617474,0.789446498206009,0.30450088971381795,3,3,0.3285114321,0.0005,0.3285114321,0.0005,buckled-single,0.1445000000000001,0.20556372630229963,,grid/gb_03_chi_03/deterministic/manifest.json
