name,role,label,onset_time,peak_max_transverse_displacement,G_b,chi,manifest,initial_state_hash
pilot_straight,straight,straight,,0.024366914893943742,0.0821278580374747,0.00025,pilot/pilot_straight/manifest.json,ea7207d631cae1d184013789347dc1413d6a2c4f9f0d7d71b26d9e7f9f6213ba
pilot_boundary,boundary-near,straight,,0.0443744703450332,0.2463835741124241,0.00025,pilot/pilot_boundary/manifest.json,ea7207d631cae1d184013789347dc1413d6a2c4f9f0d7d71b26d9e7f9f6213ba
pilot_buckled,buckled-single,buckled-single,0.19212499999999993,0.06930449509602273,0.3285114321498988,0.00025,pilot/pilot_buckled/manifest.json,ea7207d631cae1d184013789347dc1413d6a2c4f9f0d7d71b26d9e7f9f6213ba
