length,name,target_G_b,target_chi,deterministic_label,deterministic_onset_time,deterministic_peak_max_transverse_displacement,trial_regime,trial_label_counts,trial_statistics,n_trials,denominator
1.5,straight_like,0.1642557161,0.00025,buckled-single,0.13350000000000006,0.12300218538217038,resolved-buckled,"{""buckled-single"": 5, ""straight"": 0, ""unresolved"": 0}","{""onset_time"": {""count"": 5, ""iqr"": 0.0011249999999999871, ""mean"": 0.13352500000000003, ""median"": 0.13362500000000005, ""missing_count"": 0, ""std"": 0.0007037844130129569}, ""peak_energy_total"": {""count"": 5, ""iqr"": 0.15798706980657173, ""mean"": 0.32783668182024356, ""median"": 0.2854519631704858, ""missing_count"": 0, ""std"": 0.1276020973567277}, ""peak_first_mode_fraction"": {""count"": 5, ""iqr"": 0.012360084512680336, ""mean"": 0.7798410326519976, ""median"": 0.7768918882037453, ""missing_count"": 0, ""std"": 0.013209760300650726}, ""peak_max_curvature"": {""count"": 5, ""iqr"": 0.11598976384613824, ""mean"": 3.1097713850274866, ""median"": 3.1069505364980343, ""missing_count"": 0, ""std"": 0.09613475373081905}, ""peak_max_transverse_displacement"": {""count"": 5, ""iqr"": 0.0023276788349501504, ""mean"": 0.12120773839862109, ""median"": 0.12175912808237162, ""missing_count"": 0, ""std"": 0.0014227792987562072}}",5,5
1.5,boundary_like,0.19,0.00025,buckled-single,0.1273750000000001,0.13382897040041827,resolved-buckled,"{""buckled-single"": 5, ""straight"": 0, ""unresolved"": 0}","{""onset_time"": {""count"": 5, ""iqr"": 0.0017500000000000016, ""mean"": 0.1203250000000001, ""median"": 0.12037500000000009, ""missing_count"": 0, ""std"": 0.0013187351894902947}, ""peak_energy_total"": {""count"": 5, ""iqr"": 0.11707916777885141, ""mean"": 0.6671412553376289, ""median"": 0.5506685601137296, ""missing_count"": 0, ""std"": 0.4353050289702101}, ""peak_first_mode_fraction"": {""count"": 5, ""iqr"": 0.005182075474492676, ""mean"": 0.7528792002107586, ""median"": 0.7547824537433518, ""missing_count"": 0, ""std"": 0.01459862313727798}, ""peak_max_curvature"": {""count"": 5, ""iqr"": 0.18825794392725292, ""mean"": 3.425625002831096, ""median"": 3.4709468260498277, ""missing_count"": 0, ""std"": 0.10185924718678586}, ""peak_max_transverse_displacement"": {""count"": 5, ""iqr"": 0.0014229336446732188, ""mean"": 0.12966105738981115, ""median"": 0.1299432015851133, ""missing_count"": 0, ""std"": 0.0014824148974029632}}",5,5
